1	Escalera_Real	AS	K	Q	J	10	TRUE
2	Escalera_Color	K	Q	J	10	9	TRUE
3	Escalera_Color	Q	J	10	9	8	TRUE
4	Escalera_Color	J	10	9	8	7	TRUE
5	Escalera_Color	10	9	8	7	6	TRUE
6	Escalera_Color	9	8	7	6	5	TRUE
7	Escalera_Color	8	7	6	5	4	TRUE
8	Escalera_Color	7	6	5	4	3	TRUE
9	Escalera_Color	6	5	4	3	2	TRUE
10	Póker	Ases	As	As	As	As	
11	Póker	KS	K	K	K	K	
12	Póker	QS	Q	Q	Q	Q	
13	Póker	Jotas	J	J	J	J	
14	Póker	Dieces	10	10	10	10	
15	Póker	Nueves	9	9	9	9	
16	Póker	Ochos	8	8	8	8	
17	Póker	Sietes	7	7	7	7	
18	Póker	Seises	6	6	6	6	
19	Póker	Cincos	5	5	5	5	
20	Póker	Cuatros	4	4	4	4	
21	Póker	Treses	3	3	3	3	
22	Póker	Doses	2	2	2	2	
23	Full	As	As	As	K	K	
24	Full	As	As	As	Q	Q	
25	Full	As	As	As	J	J	
26	Full	As	As	As	10	10	
27	Full	As	As	As	9	9	
28	Full	As	As	As	8	8	
29	Full	As	As	As	7	7	
30	Full	As	As	As	6	6	
31	Full	As	As	As	5	5	
32	Full	As	As	As	4	4	
33	Full	As	As	As	3	3	
34	Full	As	As	As	2	2	
35	Full	K	K	K	As	As	
36	Full	K	K	K	Q	Q	
37	Full	K	K	K	J	J	
38	Full	K	K	K	10	10	
39	Full	K	K	K	9	9	
40	Full	K	K	K	8	8	
41	Full	K	K	K	7	7	
42	Full	K	K	K	6	6	
43	Full	K	K	K	5	5	
44	Full	K	K	K	4	4	
45	Full	K	K	K	3	3	
46	Full	K	K	K	2	2	
47	Full	Q	Q	Q	As	As	
48	Full	Q	Q	Q	K	K	
49	Full	Q	Q	Q	J	J	
50	Full	Q	Q	Q	10	10	
51	Full	Q	Q	Q	9	9	
52	Full	Q	Q	Q	8	8	
53	Full	Q	Q	Q	7	7	
54	Full	Q	Q	Q	6	6	
55	Full	Q	Q	Q	5	5	
56	Full	Q	Q	Q	4	4	
57	Full	Q	Q	Q	3	3	
58	Full	Q	Q	Q	2	2	
59	Full	J	J	J	As	As	
60	Full	J	J	J	K	K	
61	Full	J	J	J	Q	Q	
62	Full	J	J	J	10	10	
63	Full	J	J	J	9	9	
64	Full	J	J	J	8	8	
65	Full	J	J	J	7	7	
66	Full	J	J	J	6	6	
67	Full	J	J	J	5	5	
68	Full	J	J	J	4	4	
69	Full	J	J	J	3	3	
70	Full	J	J	J	2	2	
71	Full	10	10	10	As	As	
72	Full	10	10	10	K	K	
